Glottocode_spec	Glottocode	Smallest_Island_group	Smallest_Island_group_main	Marck_group	Medium_only_merged_for_shared_language	COUNTRY NAME	SBZR_group	glottocodes	lg_count_medium	lg_count_Marck	lg_count_SBZR	lg_count_COUNTRY	lg_count_smallest	sum_area	sum_shoreline	mean_lat	mean_long	max_long	min_long	max_lat	min_lat	smallest_island_color	Marck_group_color	medium_group_color	SBZR_group_color
hmwa1243	hmwa1243	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
iaai1238	iaai1238	Ouvea	Ouvea (Iaai), Ouvea	Kanaky (main island + Loyalties)	Ouvea	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	iaai1238, west2516	2	34	34	34	2	140.623467889	133.346022522	-20.5638527577	166.583052642	166.583052642	166.583052642	-20.5638527577	-20.5638527577	#43CDCE	#73A69F	#F3A1D8	#DB3D7D
iaai1238	iaai1238	Ouvea (Iaai)	Ouvea (Iaai), Ouvea	Kanaky (main island + Loyalties)	Ouvea	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	iaai1238	2	34	34	34	1	0.1035003979	2.1622401797	-20.479149517	166.661500343	166.664054377	166.658946309	-20.4775277999	-20.4807712341	#DD866C	#73A69F	#F3A1D8	#DB3D7D
ifoo1237	ifoo1237	Erromango	Erromango	Vanuatu + Temotu	Erromango	VANUATU	Vanuatu + Temotu	siee1239,ifoo1237,urav1235	3	128	130	117	3	894.5256442793	161.0631948151	-18.76491172515	169.204737835	169.284624303	169.124851367	-18.7078857097	-18.8219377406	#BFF1B5	#A3A4EE	#BEEFB5	#E65F6B
jawe1237	jawe1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
kada1285	fiji1243	Kadavu	Kadavu	Fiji	Kadavu	FIJI	Fiji	kada1285	1	8	8	9	1	494.92548315790003	349.1315249106	-19.010338333553847	178.33682898026922	178.539589554	177.953222573	-18.8132213855	-19.1693580711	#BE69B0	#ECADEC	#CBD5EC	#AFDFE6
kapi1249	kapi1249	Kapingamarangi	Kapingamarangi	Kapingamarangi	Kapingamarangi	FEDERATED STATES OF MICRONESIA	Kapingamarangi	kapi1249	1	1	1	17	1	2.1048568104	24.6740841348	1.0691647252722223	154.7920500706111	154.80208416	154.772692769	1.1007156915	1.0267267094	#7F3494	#58B07C	#9AC8AC	#A573DD
katb1237	katb1237	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
koro1308	koro1308	Gaua	Gaua	Vanuatu + Temotu	Gaua	VANUATU	Vanuatu + Temotu	weta1242,lako1245,koro1308,nume1241	4	128	130	117	4	343.159536054	83.1330912671	-14.2572103949	167.507267562	167.507267562	167.507267562	-14.2572103949	-14.2572103949	#6DF232	#A3A4EE	#6F83E0	#E65F6B
kosr1238	kosr1238	Kosrae	Kosrae	Kosrae	Kosrae	FEDERATED STATES OF MICRONESIA	Kosrae	kosr1238	1	1	1	17	1	114.176997965	62.480866648399996	5.3303290596	163.00780424533332	163.027237263	162.976186517	5.3403951592	5.3143942586	#4C5F97	#6D3FE8	#EACE34	#E4D341
kuma1276	kuma1276	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Kanaky (main island + Loyalties)	Kanaky (New Caledonia main island)	New Caledonia (FRANCE)	Kanaky (main island + Loyalties)	nume1242,dumb1241,xara1243,tiri1258,xara1244,zire1240,neku1237,orow1242,bwat1240,arho1237,ajie1238,arha1237,paic1239,haek1239,have1241,hmwa1243,cemu1238,pwaa1237,pwap1237,pije1237,vama1243,fwai1237,nemi1240,jawe1237,yuag1237,waam1236,caac1237,kuma1276,bala1316	29	34	34	34	29	16659.9200339808	2537.7387562654	-21.548496976421198	165.635100407904	167.193003937	163.808032137	-19.9792487692	-22.6081825505	#6D3FE8	#73A69F	#5DEE73	#DB3D7D
kwam1252	kwam1252	Tanna	Tanna	Vanuatu + Temotu	Tanna	VANUATU	Vanuatu + Temotu	kwam1252,sout2869,whit1269,lena1238,nort2847	5	128	130	117	5	564.997226668	127.471078834	-19.4944553812	169.326338052	169.326338052	169.326338052	-19.4944553812	-19.4944553812	#C5E2BC	#A3A4EE	#AD34E9	#E65F6B
labo1244	labo1244	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
lako1245	lako1245	Gaua	Gaua	Vanuatu + Temotu	Gaua	VANUATU	Vanuatu + Temotu	weta1242,lako1245,koro1308,nume1241	4	128	130	117	4	343.159536054	83.1330912671	-14.2572103949	167.507267562	167.507267562	167.507267562	-14.2572103949	-14.2572103949	#6DF232	#A3A4EE	#6F83E0	#E65F6B
lame1260	lame1260	Epi	Epi	Vanuatu + Temotu	Epi	VANUATU	Vanuatu + Temotu	bier1246,lewo1242,maii1238,baki1244,bier1244,lame1260	6	128	130	117	6	457.3889548838	151.2804295602	-16.714900371833334	168.23502994733335	168.344612546	168.118499633	-16.5846629494	-16.833475625	#56A8B9	#A3A4EE	#BD9A5B	#E65F6B
lare1249	lare1249	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
laua1243	laua1243	Lau	Lau	Fiji	Lau	FIJI	Fiji	laua1243	1	8	8	9	1	472.2560292777	787.2518202404	-18.03065504749527	-171.68379394130406	178.775444979	-179.973539319	-15.7373722493	-21.0262673248	#7D7596	#ECADEC	#B6EA6C	#AFDFE6
leha1243	leha1243	Ureparapara	Ureparapara	Vanuatu + Temotu	Ureparapara	VANUATU	Vanuatu + Temotu	leha1244,leha1243	2	128	130	117	2	38.6793476375	32.9288900364	-13.534491582	167.32481148	167.32481148	167.32481148	-13.534491582	-13.534491582	#50EF5F	#A3A4EE	#6941E2	#E65F6B
leha1244	leha1244	Ureparapara	Ureparapara	Vanuatu + Temotu	Ureparapara	VANUATU	Vanuatu + Temotu	leha1244,leha1243	2	128	130	117	2	38.6793476375	32.9288900364	-13.534491582	167.32481148	167.32481148	167.32481148	-13.534491582	-13.534491582	#50EF5F	#A3A4EE	#6941E2	#E65F6B
lele1267	lele1267	Efate	Efate	Vanuatu + Temotu	Efate	VANUATU	Vanuatu + Temotu	mele1250,eton1255,sout2856,lele1267,nort2836	5	128	130	117	5	979.0453609369	298.6526903011	-17.626902701408333	168.32011900724999	168.481375049	168.146226845	-17.4569966865	-17.8041978847	#5FF1C0	#A3A4EE	#3FC0CB	#E65F6B
leme1238	leme1238	Vanua Lava	Vanua Lava	Vanuatu + Temotu	Vanua Lava	VANUATU	Vanuatu + Temotu	vure1239,vera1241,leme1238	3	128	130	117	3	330.7597075777	110.1437380098	-13.859835542419999	167.5525986988	167.612448443	167.463246555	-13.789468074	-13.9123481473	#6DF087	#A3A4EE	#DF4653	#E65F6B
lena1238	lena1238	Tanna	Tanna	Vanuatu + Temotu	Tanna	VANUATU	Vanuatu + Temotu	kwam1252,sout2869,whit1269,lena1238,nort2847	5	128	130	117	5	564.997226668	127.471078834	-19.4944553812	169.326338052	169.326338052	169.326338052	-19.4944553812	-19.4944553812	#C5E2BC	#A3A4EE	#AD34E9	#E65F6B
lete1241	lete1241	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
lewo1242	lewo1242	Epi	Epi	Vanuatu + Temotu	Epi	VANUATU	Vanuatu + Temotu	bier1246,lewo1242,maii1238,baki1244,bier1244,lame1260	6	128	130	117	6	457.3889548838	151.2804295602	-16.714900371833334	168.23502994733335	168.344612546	168.118499633	-16.5846629494	-16.833475625	#56A8B9	#A3A4EE	#BD9A5B	#E65F6B
ling1265	ling1265	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
litz1237	litz1237	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
loma1261	loma1261	Lomaviti	Lomaviti, Leveuka (Lomaviti)	Fiji	Lomaviti	FIJI	Fiji	loma1261	1	8	8	9	1	446.2318034858	393.15436461539997	-18.306544732535485	109.67332647558065	179.896053657	-179.854596764	-17.3091940679	-19.1753134785	#D0C36E	#ECADEC	#87F2ED	#AFDFE6
loma1261	loma1261	Leveuka (Lomaviti)	Lomaviti, Leveuka (Lomaviti)	Fiji	Lomaviti	FIJI	Fiji	loma1261	1	8	8	9	1	126.58799454240001	84.2222833342	-17.7435196217875	178.7703543695	178.832910626	178.730531622	-17.6802185238	-17.8071003962	#D6F3A9	#ECADEC	#87F2ED	#AFDFE6
lonw1238	lonw1238	Ambrym	Ambrym	Vanuatu + Temotu	Ambrym	VANUATU	Vanuatu + Temotu	port1286,sout2859,daka1243,orko1234,lonw1238,nort2839	6	128	130	117	6	689.763983674	140.374687845	-16.2526197768	168.115843193	168.115843193	168.115843193	-16.2526197768	-16.2526197768	#B8F188	#A3A4EE	#F0F5D6	#E65F6B
lore1244	lore1244	Santo	Santo	Vanuatu + Temotu	Santo	VANUATU	Vanuatu + Temotu	akei1237,wail1242,tang1347,nara1263,ambl1237,tamb1253,polo1242,fort1240,rori1237,moro1286,butm1237,lore1244,navu1237,mere1242,wusi1237,shar1244,tial1239,tolo1255,tasm1246,saka1289,piam1242,noku1237,vuna1239,valp1237	24	128	130	117	24	4080.802436609	562.5763095061001	-15.23689885905926	166.95815050533332	167.243032996	166.523623182	-14.6940929114	-15.6472812869	#8A8D89	#A3A4EE	#6E65E0	#E65F6B
loto1240	loto1240	Loh-Toga	Tegua, Loh-Toga	Vanuatu + Temotu	Loh-Toga	VANUATU	Vanuatu + Temotu	loto1240	1	128	130	117	1	69.1817609726	77.3212470695	-13.3041630412	166.6300968435	166.686286859	166.588993546	-13.2091923943	-13.4189399483	#E6606A	#A3A4EE	#9BDDCD	#E65F6B
loto1240	loto1240	Tegua	Tegua, Loh-Toga	Vanuatu + Temotu	Loh-Toga	VANUATU	Vanuatu + Temotu	loto1240	1	128	130	117	1	0.0786541877	1.0651439465	-13.2551965206	166.576217961	166.576217961	166.576217961	-13.2551965206	-13.2551965206	#EEF4D7	#A3A4EE	#9BDDCD	#E65F6B
maee1241	maee1241	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
mafe1237	mafe1237	Mafea	Mafea	Vanuatu + Temotu	Mafea	VANUATU	Vanuatu + Temotu	mafe1237	1	128	130	117	1	12.5957735888	21.7873422675	-15.4197639993	167.2287371175	167.23971036	167.217763875	-15.3964738226	-15.443054176	#E5BEB7	#A3A4EE	#9F9C85	#E65F6B
maii1238	maii1238	Epi	Epi	Vanuatu + Temotu	Epi	VANUATU	Vanuatu + Temotu	bier1246,lewo1242,maii1238,baki1244,bier1244,lame1260	6	128	130	117	6	457.3889548838	151.2804295602	-16.714900371833334	168.23502994733335	168.344612546	168.118499633	-16.5846629494	-16.833475625	#56A8B9	#A3A4EE	#BD9A5B	#E65F6B
malf1237	malf1237	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
malo1243	malo1243	Tamambo	Tamambo	Vanuatu + Temotu	Tamambo	VANUATU	Vanuatu + Temotu	malo1243	1	128	130	117	1	187.6763330574	69.6166242319	-15.6984041364	167.214675542	167.247861279	167.162007306	-15.6371760066	-15.7265996516	#C4D5C2	#A3A4EE	#398FB8	#E65F6B
malu1245	malu1245	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
mang1401	mang1401	Mangareva	Mangareva	Mangareva	Mangareva	French Polynesia (FRANCE)	Mangareva	mang1401	1	1	1	10	1	32.1925231105	124.88072327009999	-23.141204395423078	-134.928802381	-134.834688999	-135.041425526	-23.0016954417	-23.2402842765	#C6A15F	#5B4ACB	#D5C194	#6FE9C0
maor1246	maor1246	North Island (NZ)	NA	Aotearoa	Aotearoa	NEW ZEALAND	Aotearoa	maor1246	1	1	1	2	1	114770.6479524784	8107.690244134899	-36.713643971745476	175.17440244124504	178.576910399	172.028887588	-34.1367010398	-41.5631958275	#E778E5	#E98D30	#B37097	#543BA8
maor1246	maor1246	South Island (NZ)	NA	Aotearoa	Aotearoa	NEW ZEALAND	Aotearoa	maor1246	1	1	1	2	1	152836.7972429597	8688.3553791733	-44.728070600592986	169.16465512131077	174.443403402	166.448731503	-40.5008484461	-47.2430691192	#7D3642	#E98D30	#B37097	#543BA8
mapi1250	mapi1250	Mapia	Mapia	Mapia	Mapia	INDONESIA	Mapia	mapi1250	1	1	1	1	1	NA	NA	0.896674	134.304599	134.304599	134.304599	0.896674	0.896674	#7C8293	#A8E9B1	#7EB47D	#E684D7
mara1399	mara1399	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
mari1426	mari1426	Maewo	Maewo	Vanuatu + Temotu	Maewo	VANUATU	Vanuatu + Temotu	baet1237,cent2058,mari1426	3	128	130	117	3	305.7678029506	138.131526619	-15.126309147557143	168.17571982485714	168.211080993	168.141814629	-14.9284166799	-15.3937668212	#57D583	#A3A4EE	#CE36BE	#E65F6B
mars1254	mars1254	Ratak	Ralik, Ratak	Ratak	Ratak + Rālik	MARSHALL ISLANDS	Ratak + Rālik	mars1254	1	1	1	1	1	128.6889817874	927.5063881421	8.268751857736623	170.85240802876535	172.162907901	168.99505249	12.2547204543	5.8829074208	#B1C28F	#F0D337	#68F7A7	#E762D6
mars1254	mars1254	Rālik	Ralik, Ratak	Rālik	Ratak + Rālik	MARSHALL ISLANDS	Ratak + Rālik	mars1254	1	1	1	1	1	130.6671349839	1025.6417136361	8.694397971175468	167.69834744559813	169.726808811	165.218740159	11.6958133261	4.585050639	#EFC561	#D7F0AA	#68F7A7	#E762D6
mars1254	mars1254	Ānewetak	Ralik, Ratak	Ānewetak	Ratak + Rālik	MARSHALL ISLANDS	Ānewetak	mars1254	1	1	1	1	1	10.1964030625	81.4290563911	11.535464243944118	162.28492452597058	162.407334223	162.102976131	11.6737160832	11.3453993552	#A1F272	#A2968A	#68F7A7	#60B58B
mask1242	mask1242	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
mele1250	mele1250	Efate	Efate	Vanuatu + Temotu	Efate	VANUATU	Vanuatu + Temotu	mele1250,eton1255,sout2856,lele1267,nort2836	5	128	130	117	5	979.0453609369	298.6526903011	-17.626902701408333	168.32011900724999	168.481375049	168.146226845	-17.4569966865	-17.8041978847	#5FF1C0	#A3A4EE	#3FC0CB	#E65F6B
mere1242	mere1242	Santo	Santo	Vanuatu + Temotu	Santo	VANUATU	Vanuatu + Temotu	akei1237,wail1242,tang1347,nara1263,ambl1237,tamb1253,polo1242,fort1240,rori1237,moro1286,butm1237,lore1244,navu1237,mere1242,wusi1237,shar1244,tial1239,tolo1255,tasm1246,saka1289,piam1242,noku1237,vuna1239,valp1237	24	128	130	117	24	4080.802436609	562.5763095061001	-15.23689885905926	166.95815050533332	167.243032996	166.523623182	-14.6940929114	-15.6472812869	#8A8D89	#A3A4EE	#6E65E0	#E65F6B
merl1237	merl1237	Merelava group	Merelava group	Vanuatu + Temotu	Merelava group	VANUATU	Vanuatu + Temotu	merl1237	1	128	130	117	1	10.750580232099999	13.568002152	-14.4177579797	168.0523986605	168.061239019	168.043558302	-14.4104225185	-14.4250934409	#75CFE7	#A3A4EE	#4EC2ED	#E65F6B
moki1238	moki1238	Mwoakilloa	Mwoakilloa	Pohnpei	Mwoakilloa	FEDERATED STATES OF MICRONESIA	Pohnpei	moki1238	1	3	3	17	1	1.8344797228	12.0051259744	6.6720876815666665	159.778407323	159.784658541	159.774852737	6.6816803359	6.6563586142	#32B079	#DDEDCA	#A98FDB	#7BACE3
mori1267	maor1246	Rēkohou	Rekohou	Rēkohou	Rēkohou	NEW ZEALAND	Rēkohou	mori1267	1	1	1	2	1	982.926259696	386.5697816147	-44.13660205145	-176.27489921469999	-175.818730364	-176.928393142	-43.5679358719	-44.4376485113	#F2A3D3	#C1C33A	#D593E9	#4AB6DD
moro1286	moro1286	Santo	Santo	Vanuatu + Temotu	Santo	VANUATU	Vanuatu + Temotu	akei1237,wail1242,tang1347,nara1263,ambl1237,tamb1253,polo1242,fort1240,rori1237,moro1286,butm1237,lore1244,navu1237,mere1242,wusi1237,shar1244,tial1239,tolo1255,tasm1246,saka1289,piam1242,noku1237,vuna1239,valp1237	24	128	130	117	24	4080.802436609	562.5763095061001	-15.23689885905926	166.95815050533332	167.243032996	166.523623182	-14.6940929114	-15.6472812869	#8A8D89	#A3A4EE	#6E65E0	#E65F6B
mort1237	mort1237	Oroluk	Mortlock	Oroluk	Mortlock (greater)	FEDERATED STATES OF MICRONESIA	Oroluk	mort1237	1	1	1	17	1	49.5868677457	55.420010837199996	7.3544120446444445	154.38391317377778	155.417896788	152.578188696	8.1511971239	6.8370579542	#50DCF2	#577B35	#A7F696	#6086D3
mort1237	mort1237	Oroluk	Mortlock	Oroluk	Mortlock (greater)	FEDERATED STATES OF MICRONESIA	Chuuk	mort1237	1	1	6	17	1	49.5868677457	55.420010837199996	7.3544120446444445	154.38391317377778	155.417896788	152.578188696	8.1511971239	6.8370579542	#50DCF2	#577B35	#A7F696	#ECD57B
mort1237	mort1237	Mortlock	Mortlock	Chuuk	Mortlock (greater)	FEDERATED STATES OF MICRONESIA	Chuuk	mort1237	1	6	6	17	1	12.757079751200001	113.2196924192	5.531753297826415	153.56311739962266	153.817745662	153.112389046	5.9329105299	5.2821877424	#567F32	#68EFC0	#A7F696	#ECD57B
mota1237	mota1237	Mota	Mota	Vanuatu + Temotu	Mota	VANUATU	Vanuatu + Temotu	mota1237	1	128	130	117	1	12.9345004669	13.6359699395	-13.8526107522	167.693802862	167.693802862	167.693802862	-13.8526107522	-13.8526107522	#CACFE7	#A3A4EE	#C94692	#E65F6B
motl1237	motl1237	Mota Lava	Mota Lava	Vanuatu + Temotu	Mota Lava	VANUATU	Vanuatu + Temotu	motl1237	1	128	130	117	1	29.1480402272	32.2906565683	-13.69400204975	167.6489375585	167.670948982	167.626926135	-13.6735571062	-13.7144469933	#93DC99	#A3A4EE	#B6C383	#E65F6B
mpot1241	mpot1241	Malakula	Malakula	Vanuatu + Temotu	Malakula	VANUATU	Vanuatu + Temotu	navw1234,nasv1234,nisv1234,malf1237,sout2857,mask1242,port1285,axam1237,nati1244,lete1241,labo1244,burm1263,aulu1238,nasa1240,bwen1239,dixo1238,rere1240,vivt1234,katb1237,unua1237,vinm1237,niti1249,ling1265,lare1249,litz1237,bign1238,mara1399,urip1239,maee1241,malu1245,nese1235,mpot1241,avok1244	33	128	130	117	33	2082.640287234	440.226717672	-16.39865610623125	167.6356258513125	167.840149527	167.333202469	-15.9511958054	-16.5982215213	#A9D446	#A3A4EE	#BEE7EE	#E65F6B
nalo1235	nalo1235	Nendö	Nendö	Vanuatu + Temotu	Nendö	SOLOMON ISLANDS	Vanuatu + Temotu	nalo1235,nang1262,natu1246	3	128	130	16	3	557.1370946876	255.4910013942	-10.753269574477777	165.97188588	166.084602606	165.749411637	-10.6971017205	-10.842102162	#45C1EE	#A3A4EE	#91C1BF	#E65F6B
nama1268	nama1268	Tongoa	Tongoa	Vanuatu + Temotu	Tongoa	VANUATU	Vanuatu + Temotu	nama1268	1	128	130	117	1	51.0815477017	54.586145506	-16.9790959289	168.58512938175	168.620074791	168.543423914	-16.8996170746	-17.0283571194	#817EC7	#A3A4EE	#8EDCA0	#E65F6B
namo1247	namo1247	Namonuito	Namonuito	Chuuk	Namonuito	FEDERATED STATES OF MICRONESIA	Chuuk	namo1247	1	6	6	17	1	5.2905893796	28.169548232	8.76085603264	150.2201840791	150.40259179	149.664324208	8.9878307506	8.5833677311	#B2CFF5	#68EFC0	#F5DDBB	#ECD57B
namo1248	namo1248	Viti Levu	Viti Levu	Fiji	Viti Levu + Yasawa	FIJI	Fiji	sout2864, nort2843, west2519, namo1248	4	8	8	9	4	10788.0411853707	991.1585237059	-17.825429385606558	178.13383320413115	178.705391402	177.295765944	-17.2872693453	-18.391015304	#A862EF	#ECADEC	#DF7AC8	#AFDFE6
nang1262	nang1262	Nendö	Nendö	Vanuatu + Temotu	Nendö	SOLOMON ISLANDS	Vanuatu + Temotu	nalo1235,nang1262,natu1246	3	128	130	16	3	557.1370946876	255.4910013942	-10.753269574477777	165.97188588	166.084602606	165.749411637	-10.6971017205	-10.842102162	#45C1EE	#A3A4EE	#91C1BF	#E65F6B
